//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4817
-6.94899997,-8.02775001,-1.00400000,135,125,57,1.000000,1.000000,229.022379,46573.000000,1.000000
-6.94700000,-8.02625000,-0.99774998,88,89,23,1.000000,1.000000,229.022379,48779.000000,1.000000
-6.94575003,-8.02575000,-1.00025003,135,136,57,1.000000,1.000000,229.022379,47469.000000,1.000000
-6.94149998,-8.03475001,-1.02175003,202,161,76,1.000000,1.000000,229.104608,48670.000000,1.000000
-6.93724999,-8.03550001,-1.02000003,157,132,65,1.000000,1.000000,229.125162,49020.000000,1.000000
-6.93950001,-8.03350001,-1.01850002,152,114,55,1.000000,1.000000,229.104608,48692.000000,1.000000
-6.93824998,-8.03249999,-1.01525002,150,104,36,1.000000,1.000000,229.104593,49719.000000,1.000000
-6.94375000,-8.02999999,-1.00500005,55,60,24,1.000000,1.000000,229.063486,48190.000000,1.000000
-6.94149998,-8.03449999,-0.99449997,52,51,26,1.000000,1.000000,229.104578,48255.000000,1.000000
-6.94049999,-8.03374999,-0.99149995,48,49,13,1.000000,1.000000,229.104563,49238.000000,1.000000
-6.94525001,-8.02775001,-1.00075000,137,154,73,1.000000,1.000000,229.042932,47840.000000,1.000000
-6.94450000,-8.02725001,-0.99750000,70,81,19,1.000000,1.000000,229.042932,49107.000000,1.000000
-6.94299999,-8.03275000,-0.99424999,70,72,40,1.000000,1.000000,229.084024,48474.000000,1.000000
-6.94175002,-8.03200000,-0.99124997,135,140,98,1.000000,1.000000,229.084024,50134.000000,1.000000
-6.94025001,-8.03350001,-0.98875003,68,75,27,1.000000,1.000000,229.104563,48867.000000,1.000000
-6.94074997,-8.03150000,-0.98824995,139,149,97,1.000000,1.000000,229.084009,49194.000000,1.000000
-6.94324997,-8.03300001,-0.97250002,49,45,16,1.000000,1.000000,229.083994,47447.000000,1.000000
-6.94500002,-8.03075000,-0.97275000,38,37,15,1.000000,1.000000,229.063440,48954.000000,1.000000
-6.94299999,-8.03275000,-0.96999996,56,52,23,1.000000,1.000000,229.083994,47141.000000,1.000000
-6.94450000,-8.03025000,-0.96999996,44,43,16,1.000000,1.000000,229.063440,48648.000000,1.000000
-6.93950001,-8.03275000,-0.97225004,75,70,37,1.000000,1.000000,229.104547,43624.000000,1.000000
-6.83549997,-8.16350000,-1.78850000,73,98,40,1.000000,1.000000,230.379633,47119.000000,1.000000
-6.83175001,-8.16275000,-1.78699999,72,97,38,1.000000,1.000000,230.400171,47949.000000,1.000000
-6.82650003,-8.16275000,-1.78724998,69,90,37,1.000000,1.000000,230.420725,48539.000000,1.000000
-6.82175002,-8.16250001,-1.78525000,65,84,38,1.000000,1.000000,230.441278,48736.000000,1.000000
-6.81600002,-8.16399999,-1.78650003,41,56,16,1.000000,1.000000,230.482386,48779.000000,1.000000
-6.82075003,-8.16175001,-1.78799998,60,76,37,1.000000,1.000000,230.441278,49719.000000,1.000000
-6.82000002,-8.16375001,-1.78549998,53,69,28,1.000000,1.000000,230.461832,49609.000000,1.000000
-6.83325002,-8.16399999,-1.78474998,77,96,41,1.000000,1.000000,230.400171,47294.000000,1.000000
-6.82699999,-8.16300001,-1.78425001,72,94,38,1.000000,1.000000,230.420725,47884.000000,1.000000
-6.82600001,-8.16225000,-1.78049999,76,94,46,1.000000,1.000000,230.420725,48190.000000,1.000000
-6.82200000,-8.16250001,-1.77925002,57,72,31,1.000000,1.000000,230.441278,49369.000000,1.000000
-6.81549999,-8.16375001,-1.78325003,36,47,15,1.000000,1.000000,230.482386,49173.000000,1.000000
-6.81899998,-8.16300001,-1.78200000,50,66,27,1.000000,1.000000,230.461832,49500.000000,1.000000
-6.82025001,-8.16124999,-1.78124999,60,79,32,1.000000,1.000000,230.441278,50025.000000,1.000000
-6.81549999,-8.16375001,-1.78000002,44,55,25,1.000000,1.000000,230.482370,49631.000000,1.000000
-6.81675002,-8.16449999,-1.77775001,48,59,26,1.000000,1.000000,230.482370,49194.000000,1.000000
-6.81950000,-8.16324999,-1.77899998,45,57,22,1.000000,1.000000,230.461817,49588.000000,1.000000
-6.82425001,-8.16050001,-1.76375001,84,105,42,1.000000,1.000000,230.420710,49806.000000,1.000000
-6.82325003,-8.16324999,-1.76125001,82,93,32,1.000000,1.000000,230.441248,49566.000000,1.000000
-6.82049999,-8.16124999,-1.76249998,89,106,42,1.000000,1.000000,230.441248,49959.000000,1.000000
-6.82325003,-8.16574999,-1.75950002,117,122,45,1.000000,1.000000,230.461801,52318.000000,1.000000
-6.82450000,-8.16050001,-1.76074999,75,94,32,1.000000,1.000000,230.420710,49326.000000,1.000000
-6.82224998,-8.16250001,-1.75749999,39,43,0,1.000000,1.000000,230.441248,50156.000000,1.000000
-6.82049999,-8.16375001,-1.76074999,127,130,54,1.000000,1.000000,230.461801,51160.000000,1.000000
-6.81824997,-8.16175001,-1.75325000,67,68,7,1.000000,1.000000,230.461801,50287.000000,1.000000
-6.82000002,-8.16074999,-1.75300001,52,53,10,1.000000,1.000000,230.441248,49653.000000,1.000000
-6.82799998,-8.15999999,-1.76275002,71,91,33,1.000000,1.000000,230.400156,50112.000000,1.000000
-6.82350001,-8.15975001,-1.75725000,53,65,14,1.000000,1.000000,230.420694,49107.000000,1.000000
