//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4474
-6.70424995,-8.12400000,-1.52149998,101,111,46,2.000000,1.000000,230.790399,20993.000000,0.000000
-6.71074996,-8.12550001,-1.51300000,77,82,24,2.000000,1.000000,230.769831,37158.000000,0.000000
-6.70874998,-8.12749999,-1.51800000,111,122,51,2.000000,1.000000,230.790384,31150.000000,0.000000
-6.70899996,-8.12424999,-1.51800000,103,111,40,2.000000,1.000000,230.769831,34318.000000,0.000000
-6.70525000,-8.12800001,-1.51375001,88,95,42,2.000000,1.000000,230.810938,25165.000000,0.000000
-6.70975003,-8.12475001,-1.51550000,103,110,46,2.000000,1.000000,230.769831,37376.000000,0.000000
-6.70825002,-8.12675001,-1.51475000,101,108,51,2.000000,1.000000,230.790384,34995.000000,0.000000
-6.70175001,-8.12550001,-1.52050000,108,114,50,2.000000,1.000000,230.810938,12910.000000,0.000000
-6.70099995,-8.12775000,-1.51475000,62,65,22,2.000000,1.000000,230.831491,15466.000000,0.000000
-6.70150003,-8.12525000,-1.51450001,101,109,49,2.000000,1.000000,230.810938,22696.000000,0.000000
-6.71100006,-8.12000000,-1.52649998,115,130,49,2.000000,1.000000,230.728754,35869.000000,0.000000
-6.71549997,-8.11975001,-1.52574997,112,132,46,2.000000,1.000000,230.708200,31609.000000,0.000000
-6.71399996,-8.11599999,-1.52649998,111,130,55,2.000000,1.000000,230.687647,33051.000000,0.000000
-6.71224997,-8.11750000,-1.52675002,111,130,50,2.000000,1.000000,230.708200,34711.000000,0.000000
-6.71224997,-8.12075000,-1.52399998,117,128,48,2.000000,1.000000,230.728739,34624.000000,0.000000
-6.71224997,-8.12075000,-1.52125000,113,124,48,2.000000,1.000000,230.728739,34340.000000,0.000000
-6.71500000,-8.11924999,-1.52249997,119,130,52,2.000000,1.000000,230.708185,28813.000000,0.000000
-6.71450004,-8.11625000,-1.52399998,109,128,48,2.000000,1.000000,230.687647,28966.000000,0.000000
-6.70874998,-8.12150001,-1.52850001,111,126,46,2.000000,1.000000,230.749308,26869.000000,0.000000
-6.70924994,-8.12200000,-1.52600002,114,126,46,2.000000,1.000000,230.749292,31172.000000,0.000000
-6.70975003,-8.11900001,-1.52875000,104,123,43,2.000000,1.000000,230.728754,34995.000000,0.000000
-6.71024999,-8.11599999,-1.52850001,101,122,44,2.000000,1.000000,230.708200,37114.000000,0.000000
-6.70975003,-8.12225001,-1.52324998,113,121,51,2.000000,1.000000,230.749292,31369.000000,0.000000
-6.70775005,-8.12325000,-1.52299999,104,113,47,2.000000,1.000000,230.769846,27262.000000,0.000000
-6.71475002,-8.11300000,-1.52625000,87,106,41,2.000000,1.000000,230.667093,15946.000000,0.000000
-6.71249995,-8.11500000,-1.52875000,96,116,45,2.000000,1.000000,230.687647,36153.000000,0.000000
-6.71224997,-8.11125000,-1.52775001,76,96,32,2.000000,1.000000,230.667093,24313.000000,0.000000
-6.71374998,-8.10899999,-1.52850001,76,98,35,2.000000,1.000000,230.646555,17213.000000,0.000000
-6.71450004,-8.12249999,-1.51950001,122,131,63,2.000000,1.000000,230.728739,31500.000000,0.000000
-6.71125004,-8.12325000,-1.51824998,104,111,43,2.000000,1.000000,230.749292,35935.000000,0.000000
-6.71100006,-8.11625000,-1.51749998,118,129,53,2.000000,1.000000,230.708185,25165.000000,0.000000
-6.71524999,-8.12299999,-1.51424997,134,143,75,2.000000,1.000000,230.728723,24794.000000,0.000000
-6.71074996,-8.12299999,-1.51525002,89,95,31,2.000000,1.000000,230.749277,36830.000000,0.000000
-6.71199998,-8.12049999,-1.51525002,121,130,65,2.000000,1.000000,230.728739,29643.000000,0.000000
-6.71549997,-8.11700000,-1.51574998,125,136,67,2.000000,1.000000,230.687632,13980.000000,0.000000
-6.71325001,-8.11799999,-1.51574998,122,134,61,2.000000,1.000000,230.708185,21888.000000,0.000000
-6.71450004,-8.11875000,-1.51350003,125,136,66,2.000000,1.000000,230.708185,13849.000000,0.000000
-6.70924994,-8.12200000,-1.52025002,100,107,39,2.000000,1.000000,230.749292,34318.000000,0.000000
-6.70650002,-8.12200000,-1.51950001,108,117,47,2.000000,1.000000,230.769846,30233.000000,0.000000
-6.70275006,-8.12275000,-1.51775002,116,129,54,2.000000,1.000000,230.790384,24357.000000,0.000000
-6.71275005,-8.11500000,-1.51999997,123,135,59,2.000000,1.000000,230.687647,21604.000000,0.000000
-6.71175000,-8.11450001,-1.51674997,126,138,63,2.000000,1.000000,230.687632,17388.000000,0.000000
-6.69899997,-8.12325000,-1.51625001,112,118,54,2.000000,1.000000,230.810938,12735.000000,0.000000
-6.70199999,-8.09425001,-1.53100001,102,128,65,2.000000,1.000000,230.605463,15793.000000,0.000000
-6.70574996,-8.07875000,-1.53000002,76,88,66,2.000000,1.000000,230.482157,11403.000000,0.000000
-6.69099996,-8.08575000,-1.53075003,90,116,53,2.000000,1.000000,230.605463,23832.000000,0.000000
-6.69125006,-8.08599999,-1.52799999,93,119,56,2.000000,1.000000,230.605463,23155.000000,0.000000
-6.69175002,-8.08299999,-1.52324998,99,119,62,2.000000,1.000000,230.584909,14068.000000,0.000000
-6.71275005,-8.12699999,-1.51125001,106,111,47,2.000000,1.000000,230.769831,31828.000000,0.000000
-6.71249995,-8.12400000,-1.51025002,125,132,63,2.000000,1.000000,230.749277,29228.000000,0.000000
-6.71150002,-8.12600001,-1.50775003,127,133,62,2.000000,1.000000,230.769815,19158.000000,0.000000
-6.70950005,-8.13150000,-1.51025002,95,99,42,2.000000,1.000000,230.810923,11315.000000,0.000000
-6.70450005,-8.13025000,-1.51099997,80,81,37,2.000000,1.000000,230.831476,13915.000000,0.000000
-6.70924994,-8.12775000,-1.51249998,72,76,25,2.000000,1.000000,230.790384,32876.000000,0.000000
